case_id,file,status,error,page,source_type,extraction_method,raw_chars,clean_chars,n_words,avg_ocr_confidence
CASE_24E6FF8E3372,path_biopsy_external_read.pdf,ERROR,"(1, 'Error opening data file ./eng.traineddata Please make sure the TESSDATA_PREFIX environment variable is set to your ""tessdata"" directory. Failed loading language \'eng\' Tesseract couldn\'t load any languages! Could not initialize tesseract.')",,,,,,,
CASE_1AE6A544B750,path_biopsy_internal_read.pdf,ERROR,"(1, 'Error opening data file ./eng.traineddata Please make sure the TESSDATA_PREFIX environment variable is set to your ""tessdata"" directory. Failed loading language \'eng\' Tesseract couldn\'t load any languages! Could not initialize tesseract.')",,,,,,,
CASE_7E764D3FA742,imaging_internal_read.pdf,ERROR,"(1, 'Error opening data file ./eng.traineddata Please make sure the TESSDATA_PREFIX environment variable is set to your ""tessdata"" directory. Failed loading language \'eng\' Tesseract couldn\'t load any languages! Could not initialize tesseract.')",,,,,,,
CASE_B4CC95229DDA,imaging_mammo_US_external_read.pdf,ERROR,"(1, 'Error opening data file ./eng.traineddata Please make sure the TESSDATA_PREFIX environment variable is set to your ""tessdata"" directory. Failed loading language \'eng\' Tesseract couldn\'t load any languages! Could not initialize tesseract.')",,,,,,,
CASE_24E6FF8E3372,path_biopsy_external_read.pdf,ERROR,"(1, 'Error opening data file ./eng.traineddata Please make sure the TESSDATA_PREFIX environment variable is set to your ""tessdata"" directory. Failed loading language \'eng\' Tesseract couldn\'t load any languages! Could not initialize tesseract.')",,,,,,,
CASE_1AE6A544B750,path_biopsy_internal_read.pdf,ERROR,"(1, 'Error opening data file ./eng.traineddata Please make sure the TESSDATA_PREFIX environment variable is set to your ""tessdata"" directory. Failed loading language \'eng\' Tesseract couldn\'t load any languages! Could not initialize tesseract.')",,,,,,,
CASE_45EDAB9E132D,imaging_mammo_external_read.pdf,ERROR,"(1, 'Error opening data file ./eng.traineddata Please make sure the TESSDATA_PREFIX environment variable is set to your ""tessdata"" directory. Failed loading language \'eng\' Tesseract couldn\'t load any languages! Could not initialize tesseract.')",,,,,,,
CASE_24E6FF8E3372,path_biopsy_external_read.pdf,ERROR,"(1, 'Error opening data file ./eng.traineddata Please make sure the TESSDATA_PREFIX environment variable is set to your ""tessdata"" directory. Failed loading language \'eng\' Tesseract couldn\'t load any languages! Could not initialize tesseract.')",,,,,,,
CASE_81B6E8D2AED3,path_biopsy_external_read2.pdf,ERROR,"(1, 'Error opening data file ./eng.traineddata Please make sure the TESSDATA_PREFIX environment variable is set to your ""tessdata"" directory. Failed loading language \'eng\' Tesseract couldn\'t load any languages! Could not initialize tesseract.')",,,,,,,
CASE_1DA5AFF33581,path_biopsy_external_read3.pdf,ERROR,"(1, 'Error opening data file ./eng.traineddata Please make sure the TESSDATA_PREFIX environment variable is set to your ""tessdata"" directory. Failed loading language \'eng\' Tesseract couldn\'t load any languages! Could not initialize tesseract.')",,,,,,,
CASE_1AE6A544B750,path_biopsy_internal_read.pdf,ERROR,"(1, 'Error opening data file ./eng.traineddata Please make sure the TESSDATA_PREFIX environment variable is set to your ""tessdata"" directory. Failed loading language \'eng\' Tesseract couldn\'t load any languages! Could not initialize tesseract.')",,,,,,,
CASE_7E764D3FA742,imaging_internal_read.pdf,ERROR,"(1, 'Error opening data file ./eng.traineddata Please make sure the TESSDATA_PREFIX environment variable is set to your ""tessdata"" directory. Failed loading language \'eng\' Tesseract couldn\'t load any languages! Could not initialize tesseract.')",,,,,,,
CASE_BA0B9D2CE8E6,imaging_mammo2_US_external_read.pdf,ERROR,"(1, 'Error opening data file ./eng.traineddata Please make sure the TESSDATA_PREFIX environment variable is set to your ""tessdata"" directory. Failed loading language \'eng\' Tesseract couldn\'t load any languages! Could not initialize tesseract.')",,,,,,,
CASE_45EDAB9E132D,imaging_mammo_external_read.pdf,ERROR,"(1, 'Error opening data file ./eng.traineddata Please make sure the TESSDATA_PREFIX environment variable is set to your ""tessdata"" directory. Failed loading language \'eng\' Tesseract couldn\'t load any languages! Could not initialize tesseract.')",,,,,,,
CASE_24E6FF8E3372,path_biopsy_external_read.pdf,ERROR,"(1, 'Error opening data file ./eng.traineddata Please make sure the TESSDATA_PREFIX environment variable is set to your ""tessdata"" directory. Failed loading language \'eng\' Tesseract couldn\'t load any languages! Could not initialize tesseract.')",,,,,,,
CASE_1AE6A544B750,path_biopsy_internal_read.pdf,ERROR,"(1, 'Error opening data file ./eng.traineddata Please make sure the TESSDATA_PREFIX environment variable is set to your ""tessdata"" directory. Failed loading language \'eng\' Tesseract couldn\'t load any languages! Could not initialize tesseract.')",,,,,,,
CASE_7E764D3FA742,imaging_internal_read.pdf,ERROR,"(1, 'Error opening data file ./eng.traineddata Please make sure the TESSDATA_PREFIX environment variable is set to your ""tessdata"" directory. Failed loading language \'eng\' Tesseract couldn\'t load any languages! Could not initialize tesseract.')",,,,,,,
CASE_374210AEADCA,imaging_mammo2_external_read.pdf,ERROR,"(1, 'Error opening data file ./eng.traineddata Please make sure the TESSDATA_PREFIX environment variable is set to your ""tessdata"" directory. Failed loading language \'eng\' Tesseract couldn\'t load any languages! Could not initialize tesseract.')",,,,,,,
CASE_45EDAB9E132D,imaging_mammo_external_read.pdf,ERROR,"(1, 'Error opening data file ./eng.traineddata Please make sure the TESSDATA_PREFIX environment variable is set to your ""tessdata"" directory. Failed loading language \'eng\' Tesseract couldn\'t load any languages! Could not initialize tesseract.')",,,,,,,
CASE_91828A8D8EBF,imaging_MRI_external_read.pdf,ERROR,"(1, 'Error opening data file ./eng.traineddata Please make sure the TESSDATA_PREFIX environment variable is set to your ""tessdata"" directory. Failed loading language \'eng\' Tesseract couldn\'t load any languages! Could not initialize tesseract.')",,,,,,,
